"module","controller","action","http_method","mutating","antiforgery","is_api","permission_attributes","inherited_permission","in_body_authorization","file"
"POS","PosController","AddQuickItem","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","RemoveQuickItem","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SetQuickCode","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"Projects","ProjectController","SaveProject","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","DeleteProject","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveBoq","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","ReceiveAdvance","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","ReleaseRetention","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","ReleaseSubRetention","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveProgress","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","ConfirmProgress","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","DeleteProgress","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveBilling","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","ApproveBilling","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","PostBilling","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","DeleteBilling","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveMaterialIssue","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","PostMaterialIssue","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","DeleteMaterialIssue","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","PostLabor","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveSubcontract","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveSubBilling","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","ApproveSubBilling","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","PostSubBilling","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","DeleteSubBilling","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveVariationOrder","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","ApproveVariationOrder","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","DeleteVariationOrder","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveEquipmentDepreciation","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","PostEquipmentDepreciation","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","DeleteEquipmentDepreciation","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","SaveActivityType","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Projects","ProjectController","DeleteActivityType","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/ProjectController.cs"
"Other","ServiceController","CompanyDetails","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ServiceController.cs"
"Other","ServiceController","BranchDetails","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ServiceController.cs"
"Tasks","TasksController","Save","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","SaveAutoRule","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","RunGenerator","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","ConfirmMatch","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","DismissMatch","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","ChangeStatus","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","Delete","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","StartTimer","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","StopTimer","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","AddTime","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","DeleteTime","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","PostLaborToWO","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
"Tasks","TasksController","GenerateInvoice","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/TasksController.cs"
