path,file,kind,ext,bytes,sha256_12,reference_count,referenced_by
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/suzuki-motor-corporation-logo.svg,suzuki-motor-corporation-logo.svg,brand-mark,svg,870,21590c62d1b5,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/tofas-logo.svg,tofas-logo.svg,brand-mark,svg,2282,2e53f07f3d11,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/webasto-logo.svg,webasto-logo.svg,brand-mark,svg,4515,b5a5af44c553,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/zurich-logo.svg,zurich-logo.svg,brand-mark,svg,6484,e3d08624067a,0,
CrossBuy/wwwroot/CrossBusiness_BrandAssets/crossbusiness-logo-horizontal-dark.svg,crossbusiness-logo-horizontal-dark.svg,brand-mark,svg,900,4e42ad784cb7,0,
CrossBuy/wwwroot/CrossBusiness_BrandAssets/crossbusiness-logo-horizontal-light.svg,crossbusiness-logo-horizontal-light.svg,brand-mark,svg,900,63c01c916ede,0,
CrossBuy/wwwroot/CrossBusiness_BrandAssets/favicon-16.png,favicon-16.png,brand-mark,png,363,dcbac034b660,0,
CrossBuy/wwwroot/CrossBusiness_BrandAssets/favicon-192.png,favicon-192.png,brand-mark,png,4539,b6342888e9ea,0,
CrossBuy/wwwroot/CrossBusiness_BrandAssets/favicon-32.png,favicon-32.png,brand-mark,png,763,e468b743a33c,0,
CrossBuy/wwwroot/CrossBusiness_BrandAssets/favicon-512.png,favicon-512.png,brand-mark,png,13095,89f550698d60,0,
CrossBuy/wwwroot/CrossBusiness_BrandAssets/favicon-64.png,favicon-64.png,brand-mark,png,1493,9a288dcab6f5,0,
CrossBuy/wwwroot/CrossBusiness_BrandAssets/favicon.ico,favicon.ico,brand-mark,ico,20745,dbfb5a570bea,13,CrossBuy/Views/Account/Login.cshtml; CrossBuy/Views/Hyper/PosLogin.cshtml; CrossBuy/Views/Portal/Choose.cshtml; CrossBuy/Views/PosApp/Login.cshtml …
CrossBuy/wwwroot/assets-en/imgs/theme/favicon.svg,favicon.svg,brand-mark,svg,9540,400733a9a67e,15,CrossBuy/Views/Account/Login.cshtml; CrossBuy/Views/Hyper/PosLogin.cshtml; CrossBuy/Views/Portal/Choose.cshtml; CrossBuy/Views/PosApp/Login.cshtml …
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-1.svg,icon-1.svg,brand-mark,svg,5445,4e9bed315a76,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-2.svg,icon-2.svg,brand-mark,svg,11526,c900773184aa,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-3.svg,icon-3.svg,brand-mark,svg,3073,f26698fcc1d8,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-4.svg,icon-4.svg,brand-mark,svg,5390,8ab547fdfaaf,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-5.svg,icon-5.svg,brand-mark,svg,4089,1442a93ef959,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-6.svg,icon-6.svg,brand-mark,svg,6940,eb34cbfb1859,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-bookmark.svg,icon-bookmark.svg,brand-mark,svg,952,08d7fb7f78a7,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-cart.svg,icon-cart.svg,brand-mark,svg,1378,0ae81b1abc18,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-clock.svg,icon-clock.svg,brand-mark,svg,1241,20eaf49f9780,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-compare.svg,icon-compare.svg,brand-mark,svg,881,b3504923f1ec,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-contact.svg,icon-contact.svg,brand-mark,svg,1550,6ee72afe7b4b,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-download.svg,icon-download.svg,brand-mark,svg,1965,17284e3cabd8,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-dribbble.svg,icon-dribbble.svg,brand-mark,svg,1424,2d6f1a1ab7d4,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-email-2.svg,icon-email-2.svg,brand-mark,svg,977,edcd43e240c8,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-email.svg,icon-email.svg,brand-mark,svg,2093,ab196c98cd48,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-facebook-brand.svg,icon-facebook-brand.svg,brand-mark,svg,495,b97b884b712b,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-facebook-white.svg,icon-facebook-white.svg,brand-mark,svg,495,3b4ad7529a59,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-facebook.svg,icon-facebook.svg,brand-mark,svg,495,527f1f3dd89b,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-headphone-white.svg,icon-headphone-white.svg,brand-mark,svg,1249,12876e495cba,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-headphone.svg,icon-headphone.svg,brand-mark,svg,1251,c19778bbb529,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-heart-2.svg,icon-heart-2.svg,brand-mark,svg,1228,24f98f0acc77,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-heart.svg,icon-heart.svg,brand-mark,svg,1322,65507e40aad8,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-hot-white.svg,icon-hot-white.svg,brand-mark,svg,2372,4e0a898999a6,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-hot.svg,icon-hot.svg,brand-mark,svg,2322,1c054d0f50d7,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-instagram-brand.svg,icon-instagram-brand.svg,brand-mark,svg,743,816d0c878779,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-instagram-white.svg,icon-instagram-white.svg,brand-mark,svg,743,e81ae9f56887,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-instagram.svg,icon-instagram.svg,brand-mark,svg,743,cfdd91493751,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-invoice.svg,icon-invoice.svg,brand-mark,svg,1323,331625765de7,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-location.svg,icon-location.svg,brand-mark,svg,1935,b704b8d69f5f,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-pinterest-brand.svg,icon-pinterest-brand.svg,brand-mark,svg,539,00fa35d6b194,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-pinterest-white.svg,icon-pinterest-white.svg,brand-mark,svg,539,b38dc810acd2,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-pinterest.svg,icon-pinterest.svg,brand-mark,svg,539,f511218fea33,0,
CrossBuy/wwwroot/assets-en/imgs/theme/icons/icon-plane.png,icon-plane.png,brand-mark,png,3150,2cd73a33e2f2,2,CrossBuy/wwwroot/assets-en/css/main.css; CrossBuy/wwwroot/assets/css/main.css
